Date and Time,push_sanitizer,refill_sanitizer
"1 /7/2 2 , 4: 7:37 PM",1,
"1 /7/2 2 , 4: 7:32 PM",1,
"1 /7/2 2 , 4: 7:26 PM",,1
"1 /7/2 2 , 4: 7:22 PM",,1
"1 /7/2 2 , 4: 7:16 PM",,1
"1 /7/2 2 , 4: 7:1  PM",,1
"1 /7/2 2 , 4: 7: 6 PM",1,
"1 /7/2 2 , 4: 7: 1 PM",1,
"1 /7/2 2 , 4: 6:39 PM",1,
"1 /7/2 2 , 4: 6:35 PM",1,
"1 /7/2 2 , 4: 6:32 PM",1,
"1 /7/2 2 , 4: 5:1  PM",1,
"1 /7/2 2 , 4: 2:   PM",1,
"1 /7/2 2 , 4: 1:56 PM",1,
"1 /7/2 2 , 4: 1:46 PM",1,
"1 /7/2 2 , 4: 1:42 PM",1,
"1 /7/2 2 , 4: 1:16 PM",1,
"1 /7/2 2 , 4:  :53 PM",1,
"1 /7/2 2 , 4:  :48 PM",1,
"1 /7/2 2 , 4:  :42 PM",1,
"1 /7/2 2 , 4:  :39 PM",1,
"1 /7/2 2 , 4:  :16 PM",1,
"1 /7/2 2 , 2:38:16 PM",1,
"1 /7/2 2 , 2:38:12 PM",1,
"1 /7/2 2 , 2:38: 1 PM",1,
"1 /7/2 2 , 2:37:58 PM",1,
"1 /7/2 2 , 1:34:21 PM",1,
"1 /7/2 2 , 1:34:16 PM",1,
"1 /7/2 2 , 1:34: 7 PM",1,
"1 /7/2 2 , 1:34: 3 PM",1,
"1 /7/2 2 , 1:33:44 PM",1,
"1 /7/2 2 , 1:33:4  PM",1,
"1 /7/2 2 , 1:33:28 PM",1,
"1 /7/2 2 , 1:33:25 PM",1,
"1 /7/2 2 , 1:32:17 PM",,1
"1 /7/2 2 , 1:32:12 PM",,1
"1 /7/2 2 , 1:32: 7 PM",,1
"1 /7/2 2 , 1:31:55 PM",1,
"1 /7/2 2 , 1:31:51 PM",1,
"1 /1/2 2 , 4:46: 2 PM",1,
"1 /1/2 2 , 4:45:57 PM",1,
"1 /1/2 2 , 4:43: 7 PM",1,
"1 /1/2 2 , 4:43: 5 PM",1,
"1 /1/2 2 , 4: 3:38 PM",1,
"1 /1/2 2 , 4: 3:33 PM",1,
"1 /1/2 2 , 4: 3:22 PM",1,
