EventTime,DeviceName,RSSI,SNR,Description
9/17/2020 19:17,Dry Contact Sensor 01,-49,9.5,Contacts opened
9/17/2020 19:17,Dry Contact Sensor 01,-39,8.2,Contacts Shorted
9/17/2020 19:15,Dry Contact Sensor 01,-42,9.2,Contacts opened
9/17/2020 19:15,Dry Contact Sensor 01,-45,8.8,Contacts Shorted
9/17/2020 19:11,Dry Contact Sensor 01,-33,9.8,Contacts opened
9/17/2020 19:11,Dry Contact Sensor 01,-39,9.8,Contacts Shorted
9/17/2020 19:11,Dry Contact Sensor 01,-42,8.5,Contacts opened
9/17/2020 19:11,Dry Contact Sensor 01,-45,8.5,Contacts Shorted
9/17/2020 19:10,Dry Contact Sensor 01,-41,8.8,Contacts opened
9/17/2020 19:10,Dry Contact Sensor 01,-43,9,Contacts Shorted
9/17/2020 19:08,Dry Contact Sensor 01,-42,10.5,Contacts opened
9/17/2020 19:08,Dry Contact Sensor 01,-45,8.8,Contacts Shorted
9/17/2020 19:06,Dry Contact Sensor 01,-35,7.8,Contacts opened
9/17/2020 19:06,Dry Contact Sensor 01,-41,8,Contacts Shorted
9/17/2020 19:06,Dry Contact Sensor 01,-39,7.2,Contacts opened
9/17/2020 19:06,Dry Contact Sensor 01,-39,10,Contacts Shorted
9/17/2020 19:06,Dry Contact Sensor 01,-34,7.2,Contacts opened
9/17/2020 19:06,Dry Contact Sensor 01,-37,7.8,Contacts Shorted
9/17/2020 19:01,Dry Contact Sensor 01,-37,10,Contacts opened
9/17/2020 19:01,Dry Contact Sensor 01,-38,9,Contacts Shorted
9/17/2020 19:00,Dry Contact Sensor 01,-37,10,Contacts opened
9/17/2020 19:00,Dry Contact Sensor 01,-36,10.8,Contacts Shorted
9/17/2020 18:56,Dry Contact Sensor 01,-42,9.8,Contacts opened
9/17/2020 18:56,Dry Contact Sensor 01,-43,9.8,Contacts Shorted
9/17/2020 18:56,Dry Contact Sensor 01,-42,10.5,Contacts opened
9/17/2020 18:56,Dry Contact Sensor 01,-41,11,Contacts Shorted
9/17/2020 18:55,Dry Contact Sensor 01,-39,7.8,Contacts opened
9/17/2020 18:55,Dry Contact Sensor 01,-45,7,Contacts Shorted
9/17/2020 18:54,Dry Contact Sensor 01,-44,10,Contacts opened
9/17/2020 18:54,Dry Contact Sensor 01,-43,10.2,Contacts Shorted
9/17/2020 18:54,Dry Contact Sensor 01,-39,10.5,Contacts opened
9/17/2020 18:54,Dry Contact Sensor 01,-42,8.8,Contacts Shorted
9/17/2020 18:53,Dry Contact Sensor 01,-44,9,Contacts opened
9/17/2020 18:53,Dry Contact Sensor 01,-38,9.5,Contacts Shorted
9/17/2020 18:53,Dry Contact Sensor 01,-41,7.8,Contacts opened
9/17/2020 18:53,Dry Contact Sensor 01,-36,10.2,Contacts Shorted
9/17/2020 18:53,Dry Contact Sensor 01,-41,9.5,Contacts opened
9/17/2020 18:53,Dry Contact Sensor 01,-42,9.5,Contacts Shorted
9/17/2020 18:43,Dry Contact Sensor 01,-33,7.5,Contacts opened
9/17/2020 18:43,Dry Contact Sensor 01,-35,9.5,Contacts Shorted
9/17/2020 18:42,Dry Contact Sensor 01,-37,8.8,Contacts opened
9/17/2020 18:42,Dry Contact Sensor 01,-30,7.8,Contacts Shorted
9/17/2020 18:42,Dry Contact Sensor 01,-29,9.2,Contacts opened
9/17/2020 18:42,Dry Contact Sensor 01,-29,8.8,Contacts Shorted
9/17/2020 18:41,Dry Contact Sensor 01,-38,10,Contacts opened
9/17/2020 18:41,Dry Contact Sensor 01,-37,9.8,Contacts Shorted
9/17/2020 18:41,Dry Contact Sensor 01,-32,7.5,Contacts opened
9/17/2020 18:41,Dry Contact Sensor 01,-35,10,Contacts Shorted
9/17/2020 18:38,Dry Contact Sensor 01,-35,9,Contacts opened
9/17/2020 18:38,Dry Contact Sensor 01,-35,6.8,Contacts Shorted
9/17/2020 18:38,Dry Contact Sensor 01,-33,9.5,Contacts opened
9/17/2020 18:38,Dry Contact Sensor 01,-38,9,Contacts Shorted
9/17/2020 18:38,Dry Contact Sensor 01,-44,9,Contacts opened
9/17/2020 18:38,Dry Contact Sensor 01,-35,10,Contacts Shorted
9/17/2020 18:38,Dry Contact Sensor 01,-36,7.2,Contacts opened
9/17/2020 18:38,Dry Contact Sensor 01,-35,8,Contacts Shorted
9/17/2020 18:36,Dry Contact Sensor 01,-38,9.5,Contacts opened
